weekly_self_study_hours,math_score,english_score,biology_score,physics_score,chemistry_score
6,74,78,80,91,55
19,83,41,74,60,52
14,79,42,58,71,89
10,61,88,87,62,99
7,66,76,55,72,81
6,74,88,42,42,69
18,40,95,59,57,58
10,74,56,63,64,56
10,76,98,93,81,95
3,86,88,95,70,58
7,53,41,72,93,67
2,42,41,63,97,97
1,40,67,91,42,94
11,44,93,50,79,65
5,65,62,88,85,76
1,94,76,47,63,65
0,53,71,75,89,92
11,78,72,77,71,62
11,66,40,79,86,48
16,48,58,59,61,51
9,54,41,74,62,92
15,54,92,87,41,40
14,65,83,64,66,97
14,81,65,74,81,97
18,99,71,64,41,40
11,52,45,68,65,86
19,90,71,57,56,73
2,71,94,85,79,71
4,78,43,57,72,93
18,88,94,41,48,87
6,91,50,93,82,64
8,71,95,74,93,79
6,43,98,55,87,84
17,69,56,80,78,92
3,76,77,75,68,40
13,62,63,72,81,55
17,78,44,43,94,78
8,84,91,72,65,44
1,54,73,53,74,61
19,82,45,60,89,68
14,68,61,87,64,94
6,75,50,59,63,42
11,52,87,95,52,51
7,71,55,47,99,65
14,46,72,46,97,55
2,98,48,42,46,90
13,90,99,56,96,76
16,61,98,72,75,61
3,67,45,87,84,96
17,41,55,51,59,68
7,81,68,98,40,53
3,84,42,90,47,67
1,96,59,61,85,44
5,92,99,94,55,86
9,45,98,61,53,88
3,67,75,85,51,69
17,67,58,69,90,85
11,83,65,77,62,91
1,83,42,77,54,44
9,59,58,84,67,51
3,69,59,90,73,55
13,50,71,93,41,65
15,97,46,47,71,65
14,94,91,66,62,87
7,67,80,66,61,60
13,64,72,73,90,78
7,78,79,60,64,75
15,72,78,69,97,72
12,40,57,72,61,69
17,96,79,67,97,76
14,66,40,86,97,62
12,96,50,72,61,97
8,91,67,44,88,49
14,52,96,99,91,93
12,80,64,87,81,44
0,42,89,58,45,75
6,78,62,43,54,73
8,45,70,74,93,91
0,47,69,88,82,70
11,66,81,56,99,49
7,48,74,83,76,97
10,76,46,67,72,58
18,72,99,69,47,97
16,90,55,68,92,71
7,81,65,85,99,40
2,83,87,92,83,95
2,63,96,45,83,44
0,54,91,74,44,84
4,98,99,99,78,43
9,93,88,80,43,55
6,71,41,76,45,63
8,71,40,63,84,55
6,63,87,68,71,94
8,80,51,88,91,41
7,91,44,85,69,88
11,88,76,92,86,67
1,88,71,70,74,71
0,97,98,74,94,66
15,91,94,99,79,59
4,51,48,72,91,63
